table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,numeric_precision,numeric_scale,datetime_precision,is_nullable,column_default,constraint_type,referenced_table_schema,referenced_table_name,referenced_column_name
ref,REF_SOURCE_SYSTEM,source_system_id,1,int,,32.0,,,NO,,PRIMARY KEY,,,
ref,REF_SOURCE_SYSTEM,source_system_cd,2,varchar,50.0,,,,NO,,,,,
ref,REF_SOURCE_SYSTEM,source_system_desc,3,varchar,200.0,,,,YES,,,,,
ref,REF_SOURCE_SYSTEM,active_ind,4,int,,32.0,,,NO,1,,,,
ref,REF_SOURCE_SYSTEM,create_by_nm,5,varchar,100.0,,,,NO,,,,,
ref,REF_SOURCE_SYSTEM,create_ts,6,timestamp,,,,6.0,NO,,,,,
ref,REF_SOURCE_SYSTEM,last_update_by_nm,7,varchar,100.0,,,,NO,,,,,
ref,REF_SOURCE_SYSTEM,last_update_ts,8,timestamp,,,,6.0,NO,,,,,
ref,REF_LOB,lob_id,1,int,,32.0,,,NO,,PRIMARY KEY,,,
ref,REF_LOB,lob_cd,2,varchar,50.0,,,,NO,,,,,
ref,REF_LOB,lob_nm,3,varchar,150.0,,,,NO,,,,,
ref,REF_LOB,lob_desc,4,varchar,300.0,,,,YES,,,,,
ref,REF_LOB,active_ind,5,int,,32.0,,,NO,1,,,,
ref,REF_LOB,create_by_nm,6,varchar,100.0,,,,NO,,,,,
ref,REF_LOB,create_ts,7,timestamp,,,,6.0,NO,,,,,
ref,REF_LOB,last_update_by_nm,8,varchar,100.0,,,,NO,,,,,
ref,REF_LOB,last_update_ts,9,timestamp,,,,6.0,NO,,,,,
ref,REF_PRODUCT_TYPE,product_type_id,1,int,,32.0,,,NO,,PRIMARY KEY,,,
ref,REF_PRODUCT_TYPE,product_type_cd,2,varchar,50.0,,,,NO,,,,,
ref,REF_PRODUCT_TYPE,product_type_nm,3,varchar,150.0,,,,NO,,,,,
ref,REF_PRODUCT_TYPE,product_type_desc,4,varchar,300.0,,,,YES,,,,,
ref,REF_PRODUCT_TYPE,active_ind,5,int,,32.0,,,NO,1,,,,
ref,REF_PRODUCT_TYPE,create_by_nm,6,varchar,100.0,,,,NO,,,,,
ref,REF_PRODUCT_TYPE,create_ts,7,timestamp,,,,6.0,NO,,,,,
ref,REF_PRODUCT_TYPE,last_update_by_nm,8,varchar,100.0,,,,NO,,,,,
ref,REF_PRODUCT_TYPE,last_update_ts,9,timestamp,,,,6.0,NO,,,,,
ref,REF_PRODUCT,product_id,1,int,,32.0,,,NO,,PRIMARY KEY,,,
ref,REF_PRODUCT,product_type_id,2,int,,32.0,,,NO,,FOREIGN KEY,ref,REF_PRODUCT_TYPE,product_type_id
ref,REF_PRODUCT,product_cd,3,varchar,50.0,,,,NO,,,,,
ref,REF_PRODUCT,product_nm,4,varchar,150.0,,,,NO,,,,,
ref,REF_PRODUCT,product_desc,5,varchar,300.0,,,,YES,,,,,
ref,REF_PRODUCT,active_ind,6,int,,32.0,,,NO,1,,,,
ref,REF_PRODUCT,create_by_nm,7,varchar,100.0,,,,NO,,,,,
ref,REF_PRODUCT,create_ts,8,timestamp,,,,6.0,NO,,,,,
ref,REF_PRODUCT,last_update_by_nm,9,varchar,100.0,,,,NO,,,,,
ref,REF_PRODUCT,last_update_ts,10,timestamp,,,,6.0,NO,,,,,
ref,REF_EVENT_TYPE,event_type_id,1,int,,32.0,,,NO,,PRIMARY KEY,,,
ref,REF_EVENT_TYPE,event_type_cd,2,varchar,50.0,,,,NO,,,,,
ref,REF_EVENT_TYPE,event_type_nm,3,varchar,150.0,,,,NO,,,,,
ref,REF_EVENT_TYPE,event_type_desc,4,varchar,300.0,,,,YES,,,,,
ref,REF_EVENT_TYPE,active_ind,5,int,,32.0,,,NO,1,,,,
ref,REF_EVENT_TYPE,create_by_nm,6,varchar,100.0,,,,NO,,,,,
ref,REF_EVENT_TYPE,create_ts,7,timestamp,,,,6.0,NO,,,,,
ref,REF_EVENT_TYPE,last_update_by_nm,8,varchar,100.0,,,,NO,,,,,
ref,REF_EVENT_TYPE,last_update_ts,9,timestamp,,,,6.0,NO,,,,,
ref,REF_PREFERENCE_TYPE,preference_type_id,1,int,,32.0,,,NO,,PRIMARY KEY,,,
ref,REF_PREFERENCE_TYPE,preference_type_cd,2,varchar,50.0,,,,NO,,,,,
ref,REF_PREFERENCE_TYPE,preference_type_nm,3,varchar,150.0,,,,NO,,,,,
ref,REF_PREFERENCE_TYPE,preference_type_desc,4,varchar,300.0,,,,YES,,,,,
ref,REF_PREFERENCE_TYPE,active_ind,5,int,,32.0,,,NO,1,,,,
ref,REF_PREFERENCE_TYPE,create_by_nm,6,varchar,100.0,,,,NO,,,,,
ref,REF_PREFERENCE_TYPE,create_ts,7,timestamp,,,,6.0,NO,,,,,
ref,REF_PREFERENCE_TYPE,last_update_by_nm,8,varchar,100.0,,,,NO,,,,,
ref,REF_PREFERENCE_TYPE,last_update_ts,9,timestamp,,,,6.0,NO,,,,,
ref,REF_PREFERENCE_CATEGORY,preference_category_id,1,int,,32.0,,,NO,,PRIMARY KEY,,,
ref,REF_PREFERENCE_CATEGORY,preference_category_cd,2,varchar,50.0,,,,NO,,,,,
ref,REF_PREFERENCE_CATEGORY,preference_category_nm,3,varchar,150.0,,,,NO,,,,,
ref,REF_PREFERENCE_CATEGORY,preference_category_desc,4,varchar,300.0,,,,YES,,,,,
ref,REF_PREFERENCE_CATEGORY,active_ind,5,int,,32.0,,,NO,1,,,,
ref,REF_PREFERENCE_CATEGORY,create_by_nm,6,varchar,100.0,,,,NO,,,,,
ref,REF_PREFERENCE_CATEGORY,create_ts,7,timestamp,,,,6.0,NO,,,,,
ref,REF_PREFERENCE_CATEGORY,last_update_by_nm,8,varchar,100.0,,,,NO,,,,,
ref,REF_PREFERENCE_CATEGORY,last_update_ts,9,timestamp,,,,6.0,NO,,,,,
ref,REF_CONSENT_TYPE,consent_type_id,1,int,,32.0,,,NO,,PRIMARY KEY,,,
ref,REF_CONSENT_TYPE,consent_level_cd,2,varchar,50.0,,,,NO,,,,,
ref,REF_CONSENT_TYPE,consent_level_nm,3,varchar,150.0,,,,NO,,,,,
ref,REF_CONSENT_TYPE,consent_level_desc,4,varchar,300.0,,,,YES,,,,,
ref,REF_CONSENT_TYPE,active_ind,5,int,,32.0,,,NO,1,,,,
ref,REF_CONSENT_TYPE,create_by_nm,6,varchar,100.0,,,,NO,,,,,
ref,REF_CONSENT_TYPE,create_ts,7,timestamp,,,,6.0,NO,,,,,
ref,REF_CONSENT_TYPE,last_update_by_nm,8,varchar,100.0,,,,NO,,,,,
ref,REF_CONSENT_TYPE,last_update_ts,9,timestamp,,,,6.0,NO,,,,,
ref,REF_OPT_OUT_TYPE,opt_out_type_id,1,int,,32.0,,,NO,,PRIMARY KEY,,,
ref,REF_OPT_OUT_TYPE,opt_out_type_cd,2,varchar,50.0,,,,NO,,,,,
ref,REF_OPT_OUT_TYPE,opt_out_type_nm,3,varchar,150.0,,,,NO,,,,,
ref,REF_OPT_OUT_TYPE,opt_out_type_desc,4,varchar,300.0,,,,YES,,,,,
ref,REF_OPT_OUT_TYPE,active_ind,5,int,,32.0,,,NO,1,,,,
ref,REF_OPT_OUT_TYPE,create_by_nm,6,varchar,100.0,,,,NO,,,,,
ref,REF_OPT_OUT_TYPE,create_ts,7,timestamp,,,,6.0,NO,,,,,
ref,REF_OPT_OUT_TYPE,last_update_by_nm,8,varchar,100.0,,,,NO,,,,,
ref,REF_OPT_OUT_TYPE,last_update_ts,9,timestamp,,,,6.0,NO,,,,,
ref,REF_CHANNEL,channel_id,1,int,,32.0,,,NO,,PRIMARY KEY,,,
ref,REF_CHANNEL,channel_cd,2,varchar,50.0,,,,NO,,,,,
ref,REF_CHANNEL,channel_nm,3,varchar,150.0,,,,NO,,,,,
ref,REF_CHANNEL,channel_desc,4,varchar,300.0,,,,YES,,,,,
ref,REF_CHANNEL,active_ind,5,int,,32.0,,,NO,1,,,,
ref,REF_CHANNEL,create_by_nm,6,varchar,100.0,,,,NO,,,,,
ref,REF_CHANNEL,create_ts,7,timestamp,,,,6.0,NO,,,,,
ref,REF_CHANNEL,last_update_by_nm,8,varchar,100.0,,,,NO,,,,,
